INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
Elon University,1200,5599,41679,30149,24332,8485,0.7118,0.8165,0.9353
Rollins College,1199,2608,56309,41460,19343,7767,1,0.6705,0.8704
The University of Tennessee-Knoxville,1199,20948,24746,29684,10296,9976,0.832,0.6754,0.7291
Indiana University-Bloomington,1198,31984,23043,32350,16225,9431,0.8555,0.7705,0.6089
Kettering University,1198,1640,49303,35600,20318,7704,1,0.6078,0.8296
Willamette University,1198,1970,52665,42305,21725,9341,0.7539,0.7883,0.9269
Drexel University,1197,16257,53831,37505,23329,10246,0.5358,0.6951,0.6317
Loyola University Chicago,1195,9931,47727,35573,22327,9432,0.5019,0.7101,0.8032
Albany College of Pharmacy and Health Sciences,1195,1075,40718,28900,24032,8530,0.7703,0.7235,0.655
Cedarville University,1195,3108,33652,26420,15386,6831,0.743,0.7263,0.8217
University of Portland,1195,3468,51036,38670,19068,7678,0.5985,0.755,0.9008
University of Puerto Rico-Rio Piedras,1195,11834,8020,4104,1715,7104,0.7862,0.4748,0.8401
Loyola University Maryland,1194,3972,56736,43250,24840,8346,0.6188,0.8437,0.9564
Westmont College,1193,1295,51760,38510,21159,9329,0.6851,0.7577,0.8206
Belmont University,1193,5465,41450,27380,21777,8450,0.478,0.6796,0.7148
University of California-Davis,1192,26483,31803,36773,13500,12065,0.8397,0.8133,0.6159
University of Colorado Boulder,1192,25461,27854,32115,16762,10298,0.683,0.6969,0.7902
University of North Carolina at Asheville,1190,3323,17468,20063,6151,7371,0.7869,0.5954,0.4802
University of Vermont,1190,9970,27788,36646,21995,9562,0.8133,0.7582,0.8114
Clarkson University,1187,3060,54772,40540,13925,10138,0.8745,0.7287,0.8105
University of Pittsburgh-Pittsburgh Campus,1187,18304,30410,27106,16043,9533,0.7478,0.8044,0.7971
Berry College,1186,2122,40965,29090,12900,7060,0.865,0.6015,0.9346
Calvin College,1183,3895,39013,28250,15962,7208,0.9881,0.7273,0.871
South Dakota School of Mines and Technology,1183,2194,20234,12870,8097,8892,0.907,0.4566,0.7213
Texas A & M University Health Science Center,1182,243,NA,NA,13315,9101,0.6328,NA,NA
Texas A & M University-College Station,1182,43931,20819,25126,8988,10287,0.8942,0.7908,0.7138
University of Dayton,1181,7812,46250,35800,18266,8494,0.619,0.7674,0.886
Austin College,1181,1206,45800,33830,17273,7605,0.8741,0.7177,0.9333
University of Alabama in Huntsville,1180,5525,20306,21506,8322,9341,0.6555,0.4835,0.4328
University of Delaware,1178,17729,21748,29932,17724,11834,0.9598,0.8001,0.8942
Rutgers University-Camden,1178,4777,22048,26908,11973,10679,0.5164,0.5582,0.3643
Rutgers University-New Brunswick,1178,33427,28011,27523,11793,10967,0.5704,0.7969,0.6864
Rutgers University-Newark,1178,6748,22046,27022,12723,12617,0.5983,0.6752,0.4675
University of South Carolina-Columbia,1178,23987,23685,28528,10441,9514,0.7128,0.7268,0.7617
University of Oklahoma-Health Sciences Center,1176,818,NA,NA,12047,7602,0.6854,NA,NA
University of Oklahoma-Norman Campus,1176,20528,23263,21105,10362,9273,0.8207,0.6629,0.6634
University of Central Florida,1175,50919,19815,22416,5069,8646,0.9807,0.6724,0.4234
Maryland Institute College of Art,1175,1892,52649,40890,26289,8764,0.3421,0.7273,0.7937
LeTourneau University,1175,2173,37031,25740,14855,7287,0.4815,0.528,0.4224
Seattle University,1175,4595,50610,36465,24756,9051,0.7077,0.7663,0.7018
Union University,1174,2565,40415,26880,11059,7369,0.5788,0.6364,0.2406
Covenant College,1173,1063,38510,29100,14593,6841,0.9875,0.5808,0.8381
Saint Michael's College,1173,1941,48894,39015,22999,8319,1,0.7481,0.8956
University of the Pacific,1172,3869,52406,39810,29264,10089,0.5588,0.5669,0.8374
The University of Alabama,1171,28692,26717,23950,12198,9605,0.7109,0.6665,0.7904
Mercer University,1171,4304,46382,33120,15801,7918,0.9752,0.5947,0.568
Stetson University,1168,2711,49939,38330,18420,9877,0.6189,0.6409,0.895
Washington College,1168,1424,52243,41120,20826,7927,0.6218,0.6821,0.843
Coe College,1166,1355,45387,35730,12732,7662,0.561,0.6667,0.842
University of St Thomas,1165,6246,48421,35308,18396,9892,0.533,0.751,0.8221
University of Missouri-Columbia,1165,26585,22387,23764,10084,8788,0.7053,0.7012,0.8184
Hofstra University,1165,6748,49604,37400,25982,12848,0.4726,0.6212,0.7673
University of the Sciences,1165,1830,49327,34742,22447,8000,0.648,0.7181,0.7843
College of Charleston,1165,10150,25086,27090,12205,7747,0.6435,0.6448,0.6828
Rockhurst University,1164,1682,40582,31290,14635,6863,0.4599,0.6921,0.4634
Bradley University,1163,4823,40330,29664,18539,8424,0.587,0.7563,0.7997
DePaul University,1163,16120,46375,33990,21544,10392,0.5034,0.7047,0.5677
Franciscan University of Steubenville,1163,2055,32761,23160,14149,7306,1,0.7346,0.7213
Oklahoma City University,1163,1954,41431,29426,16651,7055,0.6104,0.6075,0.5997
Louisiana State University and Agricultural & Mechanical College,1162,23990,20422,25790,8813,9190,0.9102,0.6914,0.764
University of San Francisco,1161,6308,55812,40294,26745,12409,0.4135,0.6901,0.664
Christopher Newport University,1161,5083,24696,20992,6688,7705,0.6493,0.6551,0.8651
CUNY Hunter College,1160,15697,14478,12639,5913,7895,0.3689,0.5038,0.4092
Millsaps College,1159,734,44435,32520,11691,6984,0.8661,0.6318,0.8636
Valparaiso University,1158,3209,43185,33480,17416,7280,0.684,0.7013,0.8134
Michigan State University,1158,37622,23740,33750,15767,10614,0.8667,0.7736,0.8045
University at Buffalo,1158,19365,20885,20151,7732,10026,0.6065,0.72,0.6461
Syracuse University,1158,14738,55600,40458,21538,10822,0.6598,0.8108,0.832
Providence College,1158,3969,56184,43245,23856,9471,0.6226,0.8504,0.8453
Lake Forest College,1157,1577,49743,39842,15780,8231,0.5593,0.6376,0.8093
University of Arkansas,1156,20776,19917,19074,6624,8902,0.8663,0.601,0.7464
Gordon College,1156,1681,43140,33230,17958,7783,0.9134,0.707,0.8626
Appalachian State University,1156,15840,17780,18670,5790,7657,0.724,0.6857,0.6664
Point Loma Nazarene University,1155,2543,43060,30356,18917,9653,1,0.7208,0.8063
Saint Johns University,1155,1871,46397,37162,18464,7899,0.8652,0.7946,0.9449
SUNY College of Environmental Science and Forestry,1155,1694,22550,16483,4726,8282,0.7439,0.716,0.5538
George Mason University,1155,21324,22332,28592,10801,10524,0.5587,0.667,0.4848
Florida International University,1154,38234,18426,18895,5931,9653,0.9841,0.5161,0.4075
University of South Florida-Main Campus,1154,30376,19299,17324,5963,8082,0.7713,0.6321,0.4854
Wagner College,1154,1830,49453,39220,22283,7949,1,0.6136,0.7904
University of North Carolina Wilmington,1154,12178,18165,18480,7096,7872,0.7085,0.7099,0.5034
Messiah College,1154,2739,41341,30470,16857,7958,0.558,0.758,0.8329
University of South Florida-St Petersburg,1154,3955,18821,16736,5328,8331,0.5143,0.4273,0.4364
University of South Florida-Sarasota-Manatee,1154,1671,NA,16502,5399,7121,0.5067,NA,0.1498
Samford University,1153,2995,38835,26328,17548,8261,0.9939,0.692,0.8162
Florida Institute of Technology,1153,3191,52490,36020,21950,9025,0.561,0.5437,0.7459
Ohio Northern University,1153,2205,49618,36720,17109,8551,0.7583,0.7175,0.5671
Florida Institute of Technology-Online,1153,2304,NA,NA,5569,7265,1,NA,NA
Mills College,1151,974,54668,41494,19608,9759,0.5337,0.6142,0.6308
Simmons College,1149,1710,51093,35380,18588,8098,0.3375,0.7122,0.8264
Lipscomb University,1149,2874,37181,26094,17769,7138,0.9802,0.64,0.7797
James Madison University,1149,18127,21980,23654,8595,8016,0.7692,0.815,0.8661
University of Evansville,1147,2373,42674,30596,13500,7658,0.656,0.6344,0.7768
University of Nebraska-Lincoln,1147,19376,21024,21388,8653,10085,0.9234,0.6678,0.8118
University of Alabama at Birmingham,1146,11200,19990,16398,9033,10170,0.9106,0.5377,0.5285
Drury University,1146,4001,32556,22295,10071,7024,0.9708,0.5741,0.4611
Iowa State University,1145,27112,18820,20278,9395,10027,0.8288,0.681,0.7083
Benedictine College,1145,1750,36805,23900,10786,6165,0.6335,0.5922,0.5995
University of Kansas,1145,18731,21971,24873,10498,9694,0.7798,0.6162,0.6806
Salisbury University,1145,7767,20916,16474,5967,6688,0.6319,0.6681,0.545
Lawrence Technological University,1145,3033,39890,28948,19336,7585,0.3077,0.4939,0.2462
Seattle Pacific University,1145,3354,45125,33813,18629,8258,0.5627,0.6899,0.7696
John Brown University,1144,1770,33326,22734,9545,6425,0.9766,0.6537,0.4202
Bethel University,1144,3178,42692,31760,16210,7577,0.4471,0.7136,0.6441
Bethel Seminary-St Paul,1144,NA,NA,NA,10720,7539,0.3182,NA,NA
Concordia College at Moorhead,1144,2464,39803,32814,16087,4889,0.9403,0.7101,0.8736
Bethel Seminary-San Diego,1144,NA,NA,NA,12221,8772,0.2381,NA,NA
University of North Florida,1143,14006,19415,20756,4980,7279,0.7889,0.4995,0.4248
Loyola University New Orleans,1143,2910,46676,36860,17610,8612,0.7682,0.5486,0.7552
University of Louisville,1142,15023,21922,23834,10747,9373,0.6602,0.5343,0.7002
University of Detroit Mercy,1142,2871,48027,35920,23050,8667,1,0.5682,0.6906
Maryville University of Saint Louis,1142,2746,37968,25002,13159,7411,0.2361,0.6735,0.4962
New Jersey Institute of Technology,1142,6449,26700,28274,9933,11262,0.6347,0.5767,0.3887
University of Cincinnati-Main Campus,1141,23360,25799,25816,12384,9079,0.4632,0.579,0.7666
University of Cincinnati-Clermont College,1141,3015,16442,12302,5641,6586,0.2588,0.2288,0.5072
University of Cincinnati-Blue Ash College,1141,4550,16185,14516,5779,6746,0.3703,0.2044,0.5851
University of Kentucky,1140,21050,22420,21192,10316,9614,0.8206,0.6184,0.7846
Pratt Institute-Main,1140,3247,54582,43126,27862,9254,0.1423,0.6277,0.7841
Harding University,1139,4428,25475,16170,11636,7082,0.7364,0.6219,0.8175
Oklahoma State University-Main Campus,1138,20314,21338,20027,10283,8254,0.8686,0.5956,0.6583
Southern California Institute of Architecture,1137,237,50373,37300,36395,9878,0.4058,0.5,1
Bryant University,1137,3263,50858,37234,22197,12905,0.6122,0.8198,0.8865
North Greenville University,1137,2068,28373,14772,6361,5568,1,0.5464,0.6375
Warren Wilson College,1136,821,41000,29540,14540,5066,0.6609,0.5064,0.7358
University of Houston,1136,30357,22215,16897,9305,10569,0.8759,0.4754,0.467
University of Redlands,1135,3462,55268,41290,17280,9234,0.9644,0.7295,0.6587
Westminster College,1134,2260,37990,29500,18359,8393,1,0.5714,0.7217
University of Massachusetts-Lowell,1132,11830,22861,26146,11192,11296,0.5525,0.5426,0.4644
Xavier University,1132,4452,45080,33000,16524,8089,0.5342,0.7646,0.8658
Oglethorpe University,1131,1020,43689,31280,11922,4728,1,0.6201,0.7389
Centenary College of Louisiana,1131,579,40578,30740,11348,7159,0.566,0.59,0.8411
The New School,1131,6581,57203,40426,25271,9716,0.1993,0.6336,0.4921
University of Wisconsin-La Crosse,1130,9335,17896,16342,6873,6650,0.9823,0.672,0.7228
State University of New York at New Paltz,1129,6397,20428,16533,5708,6719,0.5347,0.7049,0.6269
Colorado State University-Fort Collins,1127,22482,21823,25166,12292,8869,0.6959,0.6383,0.6888
Embry-Riddle Aeronautical University-Prescott,1126,1802,45228,31034,35302,8387,0.7018,0.5915,0.7883
Embry-Riddle Aeronautical University-Daytona Beach,1126,4666,45648,31334,31382,8505,0.8602,0.569,0.7657
Georgia College and State University,1126,5636,23052,26690,7701,6354,0.775,0.6115,0.7652
University of Northwestern-St Paul,1126,2038,37803,28020,14276,6078,1,0.6844,0.3691
Embry-Riddle Aeronautical University-Worldwide,1126,9689,20932,7800,7752,5326,0.4133,0.5,0.0529
North Central College,1125,2700,41218,32613,16358,7337,0.4926,0.639,0.5756
University of Michigan-Dearborn,1125,6793,15831,23124,10945,8640,0.5773,0.518,0.4619
Martin Luther College,1125,729,20740,12300,11021,4436,1,0.7684,0.8241
Saint Norbert College,1125,2128,40204,31866,16212,6730,0.779,0.7417,0.8924
Oklahoma Christian University,1124,1949,29359,18800,8890,6581,1,0.4875,0.7781
Biola University,1123,4324,44573,32142,20770,8924,0.9883,0.6819,0.7365
Southern Polytechnic State University,1123,5636,16546,16760,6239,5941,0.7288,0.3657,0.4543
Goshen College,1123,778,37707,28500,14115,5509,0.7526,0.703,0.6653
University of Wyoming,1123,9969,17652,14124,4422,8810,0.9097,0.5409,0.5886
University of California-Irvine,1122,23517,28980,36027,13713,12839,0.7884,0.8585,0.7294
Siena College,1122,3102,45452,31368,16661,8320,0.6328,0.7964,0.8219
Duquesne University,1122,5944,42280,31385,19958,8863,0.4849,0.7688,0.8994
Champlain College,1122,2851,44636,31350,22040,7305,0.9915,0.5763,0.7425
Seton Hall University,1121,5632,46869,35820,22466,9282,0.9818,0.6409,0.7013
University of Scranton,1121,3834,51962,38754,19604,9400,0.7286,0.8176,0.8483
Temple University,1121,27511,27247,24122,18854,9648,0.5007,0.6632,0.5906
University of St Thomas,1121,1529,37271,28240,16575,6830,0.9949,0.5104,0.5213
Rowan University,1120,10656,26970,20186,9614,9370,0.3174,0.6982,0.4509
Dordt College,1119,1338,37080,26540,14324,5959,1,0.623,0.8456
Catholic University of America,1118,3641,54023,38526,22145,9565,0.4848,0.6852,0.8727
Elizabethtown College,1117,1808,47390,38200,20211,8137,0.6116,0.7741,0.906
Saint Edward's University,1117,4077,43046,33720,21461,7920,0.4497,0.6952,0.7165
Elizabethtown College School of Continuing and Professional Studies,1117,365,NA,NA,9624,NA,0.0204,NA,NA
Bellarmine University,1116,2508,47609,34890,15144,7580,0.4605,0.6649,0.8394
Texas Tech University,1116,26809,20900,16013,8919,8757,0.8605,0.5904,0.6199
Saint Mary's College of California,1115,3039,56500,39890,22829,9229,0.267,0.675,0.7746
Montana Tech of the University of Montana,1115,1825,16434,18606,6448,6354,0.7326,0.4931,0.5928
Montana State University,1115,13055,18486,20717,9218,8068,0.8485,0.4941,0.5796
Western Washington University,1114,13925,22009,19752,7992,8028,0.6493,0.6932,0.7104
Houghton College,1113,1047,38352,27728,14223,4007,0.7111,0.7386,0.6947
John Carroll University,1112,3009,45714,34480,12625,8098,0.9952,0.7528,0.881
Lebanon Valley College,1112,1698,46169,35700,17637,7793,0.438,0.7311,0.8105
Pacific Lutheran University,1112,3062,45299,34740,17987,7369,0.8526,0.7045,0.6821
Illinois State University,1110,17667,25416,20450,10026,7665,0.7261,0.7162,0.607
Asbury University,1110,1392,33966,26076,13545,5924,0.5158,0.6431,0.5561
Clarkson College,1110,778,22322,12880,11683,5474,0.7639,0.4839,0.1569
