id,Tract,Boroughs,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,Crime_Rate
36005015500,155,Bronx,0.58,0.16,23883.00,0.51,0.23,0.16,0.25,0.02,0.01,0.57,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005015700,157,Bronx,0.54,0.06,31648.00,0.29,0.26,0.07,0.38,0.07,0.00,0.51,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.01
36005015800,158,Bronx,0.64,0.19,55833.00,0.79,0.07,0.60,0.10,0.00,0.03,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005015900,159,Bronx,0.59,0.15,16371.00,0.40,0.34,0.20,0.07,0.00,0.00,0.72,1.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.03
36005016000,160,Bronx,0.64,0.24,88438.00,0.38,0.09,0.83,0.00,0.00,0.02,0.15,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005016100,161,Bronx,0.52,0.14,15064.00,0.36,0.15,0.11,0.29,0.00,0.01,0.59,0.00,0.00,4.00,0.00,0.00,1.00,1.00,3.00,0.00,1.00,0.00,0.00,0.01
36005016200,162,Bronx,0.68,0.23,67813.00,0.50,0.11,0.64,0.07,0.05,0.01,0.26,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.01
36005016300,163,Bronx,0.52,0.00,NA,0.00,0.35,0.00,0.49,0.00,0.00,0.51,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,7.00,0.00,0.40
36005016400,164,Bronx,0.73,0.32,67222.00,0.33,0.12,0.76,0.08,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.01
36005016500,165,Bronx,0.62,0.05,27625.00,0.14,0.19,0.05,0.59,0.00,0.01,0.36,0.00,0.00,0.00,2.00,0.00,0.00,1.00,5.00,0.00,1.00,0.00,0.00,0.05
36005016600,166,Bronx,0.73,0.26,63456.00,0.59,0.12,0.51,0.08,0.00,0.11,0.31,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
36005016700,167,Bronx,0.46,0.05,30330.00,0.42,0.21,0.09,0.61,0.00,0.00,0.30,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005016900,169,Bronx,0.66,0.09,31029.00,0.54,0.26,0.09,0.59,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.01
36005017100,171,Bronx,1.00,0.00,NA,NA,NA,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.00
36005017300,173,Bronx,0.55,0.18,20952.00,0.27,0.16,0.21,0.29,0.05,0.03,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005017500,175,Bronx,0.47,0.13,18544.00,0.23,0.15,0.09,0.43,0.04,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005017701,177.01,Bronx,0.50,0.17,21295.00,0.37,0.21,0.08,0.22,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005017702,177.02,Bronx,0.47,0.10,21782.00,0.21,0.17,0.12,0.34,0.00,0.01,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005017901,179.01,Bronx,0.61,0.14,22233.00,0.55,0.16,0.10,0.35,0.02,0.01,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
